,unique_id,ds,y,dia,feriado,dia_da_semana,semana,mes,max_outliers,min_outliers,feriado_lag-3,feriado_lag-2,feriado_lag-1,feriado_lag1,feriado_lag2,feriado_lag3,dia_da_semana_sin,dia_da_semana_cos,mes_sin,mes_cos,y_lag,pandemia
99,SKU_02,2020-04-08,67.0,8,0,3,15,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,223.0,1
100,SKU_02,2020-04-09,76.0,9,0,4,15,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,294.0,1
101,SKU_02,2020-04-10,8.0,10,1,5,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,233.0,1
102,SKU_02,2020-04-11,27.0,11,0,6,15,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,66.0,1
103,SKU_02,2020-04-12,9.0,12,0,7,15,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.4492935982947064e-16,1.0,0.8660254037844387,-0.4999999999999998,44.0,1
104,SKU_02,2020-04-13,117.0,13,0,1,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,211.0,1
105,SKU_02,2020-04-14,77.0,14,0,2,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,168.0,1
106,SKU_02,2020-04-15,144.0,15,0,3,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,190.0,1
107,SKU_02,2020-04-16,100.0,16,0,4,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,222.0,1
108,SKU_02,2020-04-17,74.0,17,0,5,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,35.0,1
109,SKU_02,2020-04-18,17.0,18,0,6,16,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,29.0,1
110,SKU_02,2020-04-19,16.0,19,0,7,16,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,0.8660254037844387,-0.4999999999999998,33.0,1
111,SKU_02,2020-04-20,68.0,20,0,1,17,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,179.0,1
112,SKU_02,2020-04-21,12.0,21,1,2,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,189.0,1
113,SKU_02,2020-04-22,79.0,22,0,3,17,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,185.0,1
114,SKU_02,2020-04-23,81.0,23,0,4,17,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,238.0,1
115,SKU_02,2020-04-24,10.0,24,0,5,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,149.0,1
116,SKU_02,2020-04-25,0.0,25,0,6,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,35.0,1
117,SKU_02,2020-04-26,0.0,26,0,7,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,0.8660254037844387,-0.4999999999999998,29.0,1
118,SKU_02,2020-04-27,0.0,27,0,1,18,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,226.0,1
119,SKU_02,2020-04-28,0.0,28,0,2,18,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,180.0,1
120,SKU_02,2020-04-29,0.0,29,0,3,18,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,56.0,1
121,SKU_02,2020-04-30,2.0,30,0,4,18,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,258.0,1
122,SKU_02,2020-05-01,60.0,1,1,5,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,275.0,1
123,SKU_02,2020-05-02,54.0,2,0,6,18,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.5000000000000003,-0.8660254037844385,86.0,1
124,SKU_02,2020-05-03,69.0,3,0,7,18,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.4492935982947064e-16,1.0,0.5000000000000003,-0.8660254037844385,33.0,1
125,SKU_02,2020-05-04,311.0,4,0,1,19,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7818314824680298,0.6234898018587336,0.5000000000000003,-0.8660254037844385,323.0,0
126,SKU_02,2020-05-05,208.0,5,0,2,19,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,0.5000000000000003,-0.8660254037844385,265.0,0
